subject,sessionIndex,rep,letter,f1,f2,f3,f4
v.mal,2,13,i,0.063,0.078,0.125,0.031
v.mal,2,13,e,0.125,0.031,0.063,0.109
v.mal,2,13,five,0.063,0.109,0.25,0.031
v.mal,2,13,Shift.r,0.25,0.031,0.094,0.125
v.mal,2,13,o,0.094,0.125,0.109,0.078
v.mal,2,13,a,0.109,0.078,0.125,-0.093
v.mal,2,13,n,0.125,-0.093,0.125,0.187
v.mal,2,14,period,0.078,0.109,0.094,0.047
v.mal,2,14,t,0.094,0.047,0.078,0.094
v.mal,2,14,i,0.078,0.094,0.125,0.078
v.mal,2,14,e,0.125,0.078,0.062,0.141
v.mal,2,14,five,0.062,0.141,0.265,0.079
v.mal,2,14,Shift.r,0.265,0.079,0.078,0.14
v.mal,2,14,o,0.078,0.14,0.094,0.063
v.mal,2,14,a,0.094,0.063,0.25,-0.094
v.mal,2,14,n,0.25,-0.094,0.125,0.375
v.mal,2,15,period,0.078,0.125,0.078,0.109
v.mal,2,15,t,0.078,0.109,0.078,0.063
v.mal,2,15,i,0.078,0.063,0.125,0.016
v.mal,2,15,e,0.125,0.016,0.062,0.125
v.mal,2,15,five,0.062,0.125,0.234,0.032
v.mal,2,15,Shift.r,0.234,0.032,0.078,0.14
v.mal,2,15,o,0.078,0.14,0.094,0.063
v.mal,2,15,a,0.094,0.063,0.218,-0.078
v.mal,2,15,n,0.218,-0.078,0.125,0.219
