subject;sessionIndex;rep;H.period;DD.period.t;UD.period.t;H.t;DD.t.i;UD.t.i;H.i;DD.i.e;UD.i.e;H.e;DD.e.five;UD.e.five;H.five;DD.five.Shift.r;UD.five.Shift.r;H.Shift.r;DD.Shift.r.o;UD.Shift.r.o;H.o;DD.o.a;UD.o.a;H.a;DD.a.n;UD.a.n;H.n;DD.n.l;UD.n.l;H.l;DD.l.Return;UD.l.Return;H.Return
Bohdan;2;21;0.0905;0.1985;0.1080;0.1097;0.2334;0.1237;0.0887;0.2406;0.1519;0.1481;0.2611;0.1130;0.0692;0.3071;0.2379;0.0704;0.3103;0.2399;0.1520;0.1978;0.0458;0.1446;0.2982;0.1536;0.0810;0.3202;0.2392;0.0668;0.4153;0.3465;0.1212
Bohdan;2;22;0.1097;0.4191;0.3094;0.1489;0.3612;0.2113;0.0661;0.2781;0.2120;0.1108;0.8251;0.7143;0.0760;0.3273;0.2513;0.0696;0.4819;0.4123;0.0772;0.2237;0.1465;0.0841;0.3066;0.2225;0.0862;0.3092;0.2232;0.0931;0.2135;0.1204;0.0698
Bohdan;2;23;0.0548;0.2847;0.2299;0.1367;0.2467;0.1100;0.0852;0.289;0.2038;0.0683;0.2841;0.2158;0.0558;0.2987;0.2429;0.0712;0.3192;0.2480;0.0560;0.1985;0.1425;0.1210;0.342;0.2221;0.0740;0.2254;0.1514;0.0769;0.2011;0.1242;0.1130
Bohdan;2;24;0.1005;0.2539;0.1534;0.0732;0.2778;0.2046;0.0518;0.2033;0.1515;0.0795;0.2932;0.2137;0.0830;0.2748;0.1918;0.0662;0.4923;0.4261;0.1227;0.2643;0.1416;0.1552;0.1926;0.0374;0.0643;0.2897;0.2254;0.0779;0.2868;0.2089;0.0628
Bohdan;2;25;0.0857;0.22;0.1343;0.0812;0.1904;0.1092;0.0608;0.3893;0.3285;0.0925;0.3261;0.2336;0.1179;0.2693;0.1514;0.0885;0.3282;0.2397;0.0745;0.1842;0.1097;0.0793;0.2858;0.2065; 0.0559;0.2778;0.2219;0.0968;0.2655;0.1687;0.0731
Bohdan;2;26;0.1050;0.3089;0.2039;0.1286;0.2525;0.1239;0.0621;0.1953;0.1332;0.0718;0.3035;0.2317;0.0551;0.312;0.2569;0.0516;0.393;0.3414;0.0545;0.1916;0.1371;0.1556;0.2253;0.0697;0.0607;0.4147;0.3540;0.0538;0.2065;0.1527;0.0761
Bohdan;2;27;0.1172;0.2346;0.1174;0.1485;0.2582;0.1097;0.1033;0.3574;0.2541;0.0707;0.3758;0.3051;0.0349;0.3731;0.3382;0.0589;0.4052;0.3463;0.0571;0.1807;0.1236;0.1358;0.2704;0.1346;0.0547;0.2777;0.2230;0.0959;0.2465;0.1506;0.0955
Bohdan;2;28;0.0914;0.3009;0.2095;0.0881;0.2965;0.2084;0.0610;0.1687;0.1077;0.1087;0.319;0.2103;0.0852;0.2549; 0.1697;0.0710;0.4307;0.3597;0.0719;0.1744;0.1025;0.0688;0.228;0.1592;0.0766;0.2323;0.1557;0.0777;0.2087;0.1310;0.0704
Bohdan;2;29;0.1487;0.2585;0.1098;0.0894;0.3003;0.2109;0.0812;0.4947;0.4135;0.0854;0.3072;0.2218;0.0548;0.3386;0.2838;0.0714;0.5853;0.5139;0.0626;0.1863;0.1237;0.0950;0.3122;0.2172;0.0797;0.3026;0.2229;0.0921;0.2432;0.1511;0.1176
Bohdan;2;30;0.0767;0.2839;0.2072;0.0698;0.1865;0.1167;0.0498;0.2798;0.2300;0.0724;0.2823;0.2099;0.0541;0.2902;0.2361;0.0560;0.4643;0.4083;0.0718;0.1964;0.1246;0.0950;0.2227;0.1277;0.0817;0.3059;0.2242;0.0797;0.2936;0.2139;0.0618
